parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,true_value,Scenario,Batch
ba1,-0.023864973223617338,1.5213151751580664e-4,0.0018617989081261659,-0.027294819425895168,-0.02514710660865582,-0.023813899968780045,-0.02255912463417893,-0.02024063817857814,149.7707993749801,1.040695301473037,-0.025,5,1
r0,3.3856534894741,0.04232578496610462,0.4324241861351315,2.6417069039681684,3.0981387381414764,3.32874865859806,3.675678307512526,4.294111992519794,104.37822591441065,1.0213464581174894,3,5,2
ba1,-0.026277269598528146,2.0486383051849318e-4,0.0020647308062361406,-0.03036277861638744,-0.027677296815525727,-0.026157767114256603,-0.024926136991805656,-0.0223501577581811,101.57721410016438,1.0260067191023743,-0.025,5,2
r0,3.054969357418056,0.03345338821747587,0.3426119614878602,2.4974151183188456,2.7822561531352368,3.0319359945211675,3.3200116263243507,3.7153948568906237,104.88776265833795,1.0353438211107564,3,5,3
ba1,-0.024900472465356177,1.734084241952153e-4,0.001842302127164831,-0.028358792622010017,-0.026370850237416362,-0.02488290962045515,-0.02347736557730608,-0.021712435498351515,112.87072734487442,1.030810065338772,-0.025,5,3
r0,2.662617898727896,0.02492025253313516,0.3101290275081417,2.0851350089005485,2.452485843140609,2.64234260333406,2.8644452526468966,3.2364552953807233,154.87451402061433,1.01572492273899,3,5,4
ba1,-0.02226378403459273,1.546163851125519e-4,0.0019134804576383193,-0.02569126477052484,-0.023538702642277025,-0.022291697450657608,-0.021047417072787417,-0.01838252129350698,153.15706369760525,1.0135238580502095,-0.025,5,4
r0,3.1468473313975007,0.02615009728925546,0.3488639377891888,2.5490671090493944,2.889776026804911,3.125639453145212,3.3777067817660082,3.8839706589681517,177.97767914491436,1.0199664897026235,3,5,5
ba1,-0.02578293680332845,1.3874206281885905e-4,0.001835829352930832,-0.029597067148426002,-0.02701165864208711,-0.025829590085727716,-0.024330765915597862,-0.0224579714453871,175.08475159263486,1.0207681609931827,-0.025,5,5
r0,2.788205186583783,0.02745568746674482,0.3346638233892626,2.1391936850466537,2.5524695564747573,2.7868148568331157,3.0211344685173365,3.4486974633227057,148.57744701773458,1.0115396791024647,3,6,1
ba1,0.0013666226587943618,1.6366347304555627e-4,0.0019973990310427534,-0.0023095784783750974,-3.832331084372775e-5,0.0012900558974805354,0.0026437304048271613,0.00559145147653939,148.94507375203776,1.012742320385573,0,6,1
r0,3.0535159804008605,0.04350024615552236,0.3469234506521538,2.4809409527310375,2.8254164001693685,3.018094380729692,3.2219062347226117,3.925306632800405,63.60392046338926,1.0623735647352845,3,6,2
ba1,-2.577793868793917e-4,2.156462790668742e-4,0.0018430705613903698,-0.004474325548061817,-0.0013697865059264741,-1.9484320666761015e-4,8.985927250047136e-4,0.003032535644450671,73.04659676059246,1.0537709102065604,0,6,2
r0,2.897602981617188,0.037151175504009336,0.3519459178580996,2.1995461720849363,2.681646950423183,2.878536849360273,3.1155244879170274,3.6716649788007354,89.74427321692397,1.0540584215328765,3,6,3
ba1,4.736575669994822e-4,2.074102171227783e-4,0.0019994253653499907,-0.0035963548581932066,-8.497178328395261e-4,4.543591171903709e-4,0.0016808922131226205,0.004636695711947123,92.92875152725452,1.0524979405398422,0,6,3
r0,3.0805866809912734,0.029834659936782488,0.3532161826835338,2.4509319746657927,2.8225147755973037,3.0526019248158525,3.3168431264387706,3.7878823290157797,140.1648127971096,1.0376713228514414,3,6,4
ba1,-3.3800779640667203e-4,1.5505154751296253e-4,0.0018736741366307842,-0.004080671812448776,-0.001554309852572,-2.9151268051697725e-4,9.296938188217865e-4,0.003272728011641521,146.0279248945953,1.0373719112743944,0,6,4
r0,2.7768748250288713,0.02192368589350258,0.28729536372986825,2.19505976597225,2.599445362734613,2.7687527450978253,2.9655706167202776,3.3227460576938874,171.72364282916385,1.0133141734561584,3,6,5
ba1,0.0013546705175671691,1.314933457816402e-4,0.0017246688532518149,-0.001664513364798526,1.7707445765987998e-4,0.0013596341485236658,0.002433833907392479,0.005077599741318142,172.02988091629416,1.012231473076987,0,6,5
r0,4.726839016343404,0.04139243068232103,0.5207897307510893,3.8614535030843467,4.361484345842907,4.687876479659394,5.027716059078925,5.892366155857499,158.30074676042474,1.032338085392528,5,7,1
ba1,-0.049245431923077634,1.3913967299022625e-4,0.0017988895500661093,-0.05296332306986897,-0.05034981691407521,-0.049100462529133304,-0.04803192031864134,-0.04594548844303114,167.15025412781125,1.026349208962736,-0.05,7,1
r0,4.461029703413177,0.040734628499001405,0.5322319512639817,3.6807324720980477,4.079945364759753,4.39336558531073,4.739891866552039,5.638007992872212,170.7160548383825,1.006564450917057,5,7,2
ba1,-0.04765765882939478,1.4535650671455193e-4,0.0019067486883880894,-0.0516179744752427,-0.048751143745285136,-0.0476113967846742,-0.04615647175460761,-0.04459394985668054,172.07507130194165,1.007093614875716,-0.05,7,2
r0,4.117319166455698,0.06492132211849846,0.5127415498424505,3.218527522139764,3.7818564206915957,4.0647776007693395,4.392304382539595,5.345302587275757,62.376688129734035,1.0590422836512894,5,7,3
ba1,-0.046873955570630066,2.6958339559106885e-4,0.002024107854476155,-0.051223976302023515,-0.04810007189929074,-0.0467572612624098,-0.045552761997664226,-0.0428344071824849,56.37428176151308,1.0591464236545802,-0.05,7,3
r0,4.911123478803447,0.044318265637423394,0.5079049218694187,3.9538665422503976,4.567549765772218,4.86945564091066,5.253799822297179,5.952016038464782,131.34070111109259,1.0091982231415975,5,7,4
ba1,-0.049206079478811914,1.5277571031373235e-4,0.0017141610866954074,-0.05240888346888036,-0.050479393209954856,-0.049185459560856626,-0.048096091665777704,-0.04570783956141191,125.89098762965044,1.0091842392009034,-0.05,7,4
r0,4.886740125332968,0.04780314711180372,0.591024487694824,3.678550149102179,4.485475094161801,4.876885031015279,5.284061314700464,6.064909823463823,152.8614489640475,1.0175999534602451,5,7,5
ba1,-0.04972528977225174,1.6628682637356504e-4,0.002026297494508554,-0.053535364674389636,-0.051068626137997085,-0.04982627767475692,-0.04849352273161663,-0.04523558052727816,148.48778377458845,1.0188359891669287,-0.05,7,5
r0,4.847066548150518,0.04505304078300329,0.5369031407292916,3.8233233093433237,4.454276603193426,4.825738646666171,5.219030915597832,5.909502696902572,142.01809156150279,1.0542591960529044,5,8,1
ba1,-0.02434639867777256,1.5160283674019726e-4,0.0018380010233919612,-0.02770235364269929,-0.025678007790610843,-0.024381726040278336,-0.023062020348953736,-0.020578444958828095,146.98629473608202,1.0483162631097982,-0.025,8,1
r0,5.552510742215464,0.05681436297676389,0.7017913560923464,4.277772350682528,5.0635260375699325,5.4816675316084895,6.056036317507839,6.948430442726094,152.58075036102957,1.0113167948651038,5,8,2
ba1,-0.027061855397873435,1.6511431021183138e-4,0.002075689345146498,-0.030780201859804273,-0.02862452880414332,-0.02702675149995906,-0.02565362527437797,-0.022876015723091257,158.03572857000336,1.0124224956141779,-0.025,8,2
r0,5.358924593280165,0.05465641939854142,0.618549089139258,4.312093028622592,4.926215356605302,5.304012995692844,5.719121558242784,6.756089103288236,128.07547906863937,1.0102866241464514,5,8,3
ba1,-0.025920999248354247,1.6166440240803962e-4,0.0018704894594921307,-0.029849518328904534,-0.02711205316687895,-0.025849520801923938,-0.02458239538894874,-0.022524014516496476,133.86952671605917,1.0097393003154638,-0.025,8,3
r0,4.699311695600529,0.03663389054312039,0.49069504395883434,3.7547784342405306,4.325584036769268,4.6845032369997615,5.0416347474241325,5.728456268732911,179.41438314889905,1.0046576376884868,5,8,4
ba1,-0.024132010355356733,1.2638422380118014e-4,0.0017215381202074702,-0.027399588342007508,-0.02533649721551392,-0.024153371385741904,-0.02296092996905116,-0.02062251039643618,185.5442740734446,1.0017568195733086,-0.025,8,4
r0,4.802349035850658,0.054509848648742344,0.5720840592016169,3.791942447802579,4.396507026573272,4.766891294507056,5.137837436284909,6.089725475706038,110.14625630970451,1.0360202674945451,5,8,5
ba1,-0.024191616084583766,1.807019122119752e-4,0.0019273774473980148,-0.02815454264634212,-0.02541754745246065,-0.024213082739539073,-0.02292919989492733,-0.020555466566910107,113.76483706047718,1.0363834724794958,-0.025,8,5
r0,4.590675517539119,0.04049574043864044,0.5231454337286214,3.5578265815493433,4.235821458154223,4.55512866519888,4.906186960526132,5.706365188970076,166.88841480871585,1.0113409510070956,5,9,1
ba1,0.001953067231385576,1.4080310003530692e-4,0.0018604336862715995,-0.001755521709751958,7.321748262672991e-4,0.002013050851943387,0.0031732848324112196,0.005953103663875492,174.58380545229315,1.0091435280786794,0,9,1
r0,4.779203672786114,0.044664232487373584,0.5555738842027731,3.681599605944015,4.384677336919614,4.7347272131207925,5.126129107167881,6.008592224801356,154.72621244272793,1.0346147882293888,5,9,2
ba1,9.659533645788954e-4,1.5087025379673287e-4,0.0018992362316811002,-0.0028882157341821257,-2.541706873162163e-4,0.0010012667779631173,0.002239008484560964,0.005002143376551822,158.47134049153877,1.033269294540732,0,9,2
r0,4.567840969653932,0.03627238797791132,0.46933559008736653,3.7093902967817054,4.2219701052071015,4.545793382904916,4.870010080762974,5.564790497350682,167.42283069158466,1.0155170899225094,5,9,3
ba1,0.0016512519037706465,1.3275632539248066e-4,0.001706322092475658,-0.0015762747481285777,4.1859790208781085e-4,0.0015592315616789585,0.0028206455066556464,0.005156353924478869,165.20058533872614,1.022257618684262,0,9,3
r0,5.6185530690384775,0.0539925891292481,0.7055776117302129,4.388654775994896,5.131687726711477,5.5808852084190015,6.04006957599334,7.154417735040917,170.77381334806688,1.0278292841389374,5,9,4
ba1,-0.0018445215398423297,1.5231999454606607e-4,0.002046157763037784,-0.006057593844784009,-0.003145355435423469,-0.0018333448446839035,-4.479884259277512e-4,0.002231083781064272,180.4531220975952,1.020026870577993,0,9,4
r0,4.597653198245135,0.05906242845380495,0.5802667450403668,3.5344422031553777,4.22765971614991,4.563596613533952,4.905061170399181,5.877089318574224,96.52343400929742,1.0622103198556179,5,9,5
ba1,0.0013701804905890671,1.901775135962998e-4,0.0020942150239996083,-0.0028052902104098443,1.2530665069479486e-4,0.0012558593158153314,0.0027225208314345783,0.005776799741653317,121.26185614809006,1.0587865757113677,0,9,5
